FAMILIA;VHLO;CONDUCTOR;FAMILIA AVERIA;DEFICIENCIAS DETECTADAS;DESCRIPCIÓN AVERIA;FOTO;FECHA AVISO;FECHA DISTINTA AVISO;TURNO;Nº AVISO;AVISO CREADO SI / NO;ORIGEN AVISO;TIPO ORDEN
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Brigadas Cabina Simple;1403;;CARROCERIA;NO DESCARGA;1403. NO BASCULA;NO;26/02/2026;;M;6000832778;SI;P. ESTE;L06
Brigadas Cabina Simple;1403;;MOTOR;TESTIGO EN CUADRO;1403. LAS LUCES DE AVERÍA SE ...;NO;26/02/2026;;M;6000832777;SI;P. ESTE;L06
Brigadas Cabina Simple;1403;;MOTOR;MOTOR DE ARRANQUE;1403. DA TIRONES;NO;26/02/2026;;M;6000832776;SI;P. ESTE;L06
Brigadas Cabina Simple;436;;MOTOR;TESTIGO FALLO MOTOR;436. TESTIGO MOTOR ENCENDIDO;NO;26/02/2026;;M;6000832775;SI;P. ESTE;L06
Brigadas Cabina Simple;436;;CABINA;CINTURÓN / AIRBAG;436. CINTURÓN PITA PUESTO;NO;26/02/2026;;M;6000832774;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1533;;MOTOR;PERDIDA ANTICONGELANTE;1533. NIVEL BAJO ANTICONGELANTE;NO;26/02/2026;;M;6000832760;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1533;;SISTEMA;FILTRO AGUA;1533. FILTROS AGUA OBSTRUIDOS;NO;26/02/2026;;M;6000832758;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;560;;MOTOR;TESTIGO EN CUADRO;560. TESTIGO TEMPERATURA;NO;26/02/2026;;M;6000832757;SI;P. ESTE;L06
Barr. medianas aspiración CON pértiga;536;;LIMPIEZA;LIMPIEZA INTERIOR;536 PLAN DE LAVADO;NO;26/02/2026;;M;6000832747;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1564;;MOTOR;NIVELES VARIOS;1564. NIVELES BAJOS;NO;26/02/2026;;M;6000832738;SI;P. ESTE;L06
Motocarros;811;;MOTOR;NIVELES VARIOS;811. NIVELES BAJOS;NO;26/02/2026;;M;6000832737;SI;P. ESTE;L06
Brigadas Cabina Doble;459;;HIDRAULICA;PERDIDA DE HIDRÁULICO;0459. TIRA ACEITE;NO;26/02/2026;;M;6000832728;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1546;;MOTOR;REGENERACIÓN;1546. PENDIENTE DE REGENERACION;NO;26/02/2026;;M;6000832727;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1546;;MOTOR;TESTIGO EN CUADRO;1546. TESTIGO EN CUADRO;NO;26/02/2026;;M;6000832711;SI;P. ESTE;L06
